time,open,high,low,close,volume,ticker,type
2022-08-31,22800.0,23280.0,22800.0,23090.0,10846400.0,SSI,stock
2022-09-05,23190.0,23380.0,22800.0,22800.0,10158000.0,SSI,stock
2022-09-06,22950.0,23240.0,22610.0,22850.0,11026900.0,SSI,stock
2022-09-07,22800.0,23040.0,21700.0,21700.0,23212800.0,SSI,stock
2022-09-08,22080.0,22130.0,21210.0,21210.0,15977000.0,SSI,stock
2022-09-09,21170.0,21360.0,20490.0,21360.0,33441100.0,SSI,stock
2022-09-12,21650.0,21650.0,21020.0,21020.0,11997400.0,SSI,stock
2022-09-13,21020.0,21210.0,20400.0,20830.0,18972100.0,SSI,stock
2022-09-14,20200.0,21310.0,20200.0,21120.0,25849700.0,SSI,stock
2022-09-15,21260.0,21260.0,20780.0,20830.0,9382000.0,SSI,stock
2022-09-16,20690.0,20880.0,20250.0,20350.0,19466700.0,SSI,stock
2022-09-19,20350.0,20350.0,19150.0,19150.0,22693700.0,SSI,stock
2022-09-20,19430.0,19960.0,19150.0,19920.0,14145700.0,SSI,stock
2022-09-21,19720.0,20010.0,19580.0,19770.0,8382000.0,SSI,stock
2022-09-22,19530.0,20400.0,19430.0,20300.0,17206400.0,SSI,stock
2022-09-23,20200.0,20490.0,19770.0,19870.0,10814000.0,SSI,stock
2022-09-26,19290.0,19530.0,18520.0,18760.0,22906700.0,SSI,stock
2022-09-27,18950.0,19240.0,18760.0,18810.0,10953800.0,SSI,stock
2022-09-28,18670.0,19290.0,18670.0,19000.0,14119800.0,SSI,stock
2022-09-29,19430.0,19430.0,18570.0,18570.0,11341000.0,SSI,stock
2022-09-30,18420.0,19050.0,17610.0,19050.0,20628400.0,SSI,stock
2022-10-03,18860.0,18910.0,17750.0,17750.0,15843300.0,SSI,stock
2022-10-04,18180.0,18380.0,16930.0,17130.0,15613300.0,SSI,stock
2022-10-05,17650.0,18090.0,17510.0,17940.0,13616200.0,SSI,stock
2022-10-06,17940.0,17940.0,16740.0,16740.0,12072300.0,SSI,stock
2022-10-07,16400.0,16450.0,15590.0,16160.0,24130800.0,SSI,stock
2022-10-10,16120.0,17030.0,15920.0,16740.0,17618200.0,SSI,stock
2022-10-11,16400.0,16740.0,15590.0,15590.0,16403900.0,SSI,stock
2022-10-12,15780.0,16640.0,15630.0,16600.0,18582200.0,SSI,stock
2022-10-13,16600.0,17030.0,16360.0,16840.0,12486200.0,SSI,stock
2022-10-14,17320.0,17700.0,17130.0,17220.0,22035600.0,SSI,stock
2022-10-17,16930.0,17320.0,16600.0,17320.0,13659200.0,SSI,stock
2022-10-18,17700.0,17800.0,17030.0,17130.0,18797300.0,SSI,stock
2022-10-19,17220.0,17320.0,16840.0,16980.0,12345400.0,SSI,stock
2022-10-20,16840.0,17170.0,16600.0,16740.0,11211900.0,SSI,stock
2022-10-21,16740.0,16790.0,15590.0,15590.0,28076400.0,SSI,stock
2022-10-24,15680.0,15780.0,14530.0,14530.0,23354200.0,SSI,stock
2022-10-25,14530.0,15440.0,13760.0,14480.0,22999400.0,SSI,stock
2022-10-26,14720.0,15010.0,14140.0,14290.0,9014400.0,SSI,stock
2022-10-27,14530.0,15250.0,14430.0,15250.0,21710300.0,SSI,stock
2022-10-28,15590.0,15780.0,15250.0,15300.0,16262500.0,SSI,stock
2022-10-31,15300.0,15780.0,14620.0,15680.0,20501900.0,SSI,stock
2022-11-01,15970.0,16400.0,15680.0,16309.0,22328100.0,SSI,stock
2022-11-02,16309.0,16400.0,15870.0,15870.0,15911800.0,SSI,stock
2022-11-03,15590.0,16160.0,15540.0,15870.0,11302200.0,SSI,stock
2022-11-04,15630.0,15680.0,14770.0,14770.0,25310800.0,SSI,stock
2022-11-07,14670.0,14910.0,13760.0,13760.0,21167600.0,SSI,stock
2022-11-08,13280.0,14580.0,13280.0,14430.0,16380300.0,SSI,stock
2022-11-09,14580.0,15010.0,14340.0,14340.0,8615900.0,SSI,stock
2022-11-10,14140.0,14240.0,13370.0,13370.0,18406100.0,SSI,stock
2022-11-11,13760.0,14050.0,13280.0,13570.0,19859900.0,SSI,stock
